street,traffic volume,accident count,crash_rate,latitude,longitude,risk level,Frequent_Day,Frequent_Hour,label
"MINNEAPOLIS ST, Los Angeles",2291,7,0.31,34.1135807,-118.2520118,low,Friday,15,15
"MIRAMAR ST, Los Angeles",654,4,0.61,34.0599125,-118.2622106,low,Saturday,17,21
"MIRANDA ST, Los Angeles",192,46,23.96,34.1747062,-118.6231704,low,Friday,3,1
"MISSION RD, Los Angeles",168205,21,0.01,34.0615219,-118.2131173,low,Friday,15,12
"MISSISSIPPI AV, Los Angeles",4381,556,12.69,34.0451996,-118.4330541,low,Thursday,18,7
"MISSOURI AV, Los Angeles",8916,46,0.52,34.0368485,-118.4544054,low,Friday,15,19
"MOHAWK ST, Los Angeles",35908,82,0.23,34.0844888,-118.2622048,low,Saturday,21,15
"MONON ST, Los Angeles",37036,22,0.06,34.1093446,-118.2735372,low,Tuesday,21,15
"MONROE ST, Los Angeles",867,16,1.85,34.0857685,-118.3135532,low,Friday,15,6
"MONTAGUE ST, Los Angeles",1135,46,4.05,34.2328694,-118.4314901,low,Sunday,18,3
"MONTANA ST, Los Angeles",5899,69,1.17,34.0780408,-118.2571766,low,Friday,1,21
"MONTE VISTA AV, Los Angeles",3842,38,0.99,34.168506,-118.267808,low,Saturday,4,15
"MONTE VISTA ST, Los Angeles",15817,8,0.05,34.1127797,-118.1923939,low,Friday,15,0
"MONTEREY RD, Los Angeles",88732,42,0.05,34.0876239,-118.187498,low,Saturday,8,0
"MOORPARK ST, Los Angeles",72198,155,0.21,34.1516572,-118.4470454,low,Wednesday,11,16
"MORAY AV, Los Angeles",4886,731,14.96,33.7249824,-118.3135446,low,Wednesday,14,4
"MORGAN AV, Los Angeles",9310,6,0.06,34.0043705,-118.2451169,low,Tuesday,23,21
"MORRISON ST, Los Angeles",39796,27,0.07,34.1603657,-118.4671376,low,Monday,7,16
"MOSHER AV, Los Angeles",567,50,8.82,34.0945257,-118.2048278,low,Sunday,7,0
"MOTOR AV, Los Angeles",88643,2,0.0,34.045044,-118.4065761,low,Saturday,8,7
"MOZART ST, Los Angeles",1569,183,11.66,34.067724,-118.2214716,low,Thursday,12,12
"MULHOLLAND DR, Los Angeles",78468,10,0.01,34.1314847,-118.4397866,low,Thursday,8,16
"MULLEN AV, Los Angeles",1454,613,42.16,34.0487787,-118.3357347,medium,Saturday,19,17
